restaurant,rating,review,sentiment,predicted_sentiment,negative,complaint
Urban Bites,2.5,Staff behavior was rude,negative,negative,True,other
Spice Garden,2.0,The food was overpriced,negative,negative,True,high price
Urban Bites,2.0,The delivery was very late,negative,positive,False,other
Spice Garden,2.5,The portion size was disappointing,negative,negative,True,small portions
Urban Bites,1.5,The food was cold and tasteless,negative,negative,True,cold food
Spice Garden,2.0,The staff was unfriendly,negative,positive,False,other
Urban Bites,2.5,The delivery service was poor,negative,negative,True,other
Spice Garden,1.5,My food was cold and the service was bad,negative,negative,True,cold food
Urban Bites,2.0,The prices are too high,negative,positive,False,other
Spice Garden,2.5,The order arrived very late,negative,positive,False,other
Urban Bites,1.5,The staff treated us rudely,negative,positive,False,other
Spice Garden,2.0,The food was too expensive,negative,negative,True,high price
Urban Bites,2.5,The food was not fresh,negative,negative,True,other
Spice Garden,2.5,The delivery was slow and disappointing,negative,negative,True,slow delivery
Urban Bites,2.0,The portion was much too small,negative,negative,True,other
Spice Garden,1.5,The staff was rude and unhelpful,negative,positive,False,other
Urban Bites,2.5,My order took too long to arrive,negative,negative,True,slow delivery
Spice Garden,2.0,The food was cold and expensive,negative,negative,True,cold food
Urban Bites,1.5,Very poor service and rude staff,negative,negative,True,rude staff
Spice Garden,2.5,The portions were too small,negative,negative,True,other
Urban Bites,2.0,The meal was cold when it arrived,negative,negative,True,cold food
Spice Garden,1.5,The delivery was extremely late,negative,negative,True,other
Urban Bites,2.5,The food quality was disappointing,negative,negative,True,other
Spice Garden,2.0,The prices were unreasonable,negative,positive,False,other
Urban Bites,1.5,Very slow delivery and cold food,negative,negative,True,slow delivery
Spice Garden,2.5,The staff behaved badly,negative,positive,False,other
Urban Bites,2.0,The meal was overpriced,negative,negative,True,high price
Spice Garden,1.5,The food was not hot and service was slow,negative,negative,True,cold food
Urban Bites,2.5,The food was average and delivery was late,negative,negative,True,slow delivery
Spice Garden,2.0,Small portions and high prices,negative,positive,False,other
Urban Bites,1.5,Extremely rude staff,negative,negative,True,rude staff
Spice Garden,2.5,The meal arrived cold,negative,negative,True,other
Urban Bites,2.0,Slow delivery and poor service,negative,negative,True,slow delivery
Spice Garden,1.5,Very expensive food and small portions,negative,positive,False,other
Urban Bites,2.5,The order was late and the food was cold,negative,negative,True,cold food
Spice Garden,2.0,The service was poor and slow,negative,negative,True,other
